rx,0.7002
ry,0.3046
gx,0.1972
gy,0.727
bx,0.1515
by,0.04723
Rgamma,2.198
Ggamma,2.205
Bgamma,2.243
RYmax,28.6
GYmax,82.6
BYmax,7.2
